Price_Book_Entry_Ext_Id__c,IsActive,UnitPrice,Pricebook2.Price_Book_Ext_Id__c,Product2.Product_Ext_Id__c
CPB-001,TRUE,15,366683710326024541,609242363766393892
CPB-002,TRUE,11,366683710326024541,886193443434865946
CPB-003,TRUE,11.5,366683710326024541,162250655879296471
CPB-004,TRUE,112,366683710326024541,917398273042372450
CPB-005,TRUE,117,366683710326024541,175709351135179214
CPB-006,TRUE,14,366683710326024541,824082302029008301
CPB-007,TRUE,13.5,366683710326024541,423420510513005021
CPB-008,TRUE,10.75,366683710326024541,444283095273044570
CPB-009,TRUE,11.28,366683710326024541,768107732197842836
CPB-010,TRUE,114.95,366683710326024541,273236152042631791
CPB-011,TRUE,122,366683710326024541,298346487198583997
CPB-012,TRUE,18.5,366683710326024541,850433570411606659
CPB-013,TRUE,14.5,366683710326024541,630048284524390342
CPB-014,TRUE,16.78,366683710326024541,447811262504189181
CPB-015,TRUE,13.75,366683710326024541,542384851367092544
